,hourly weight to day
706,0.0348106097408636
707,0.0329229530723
718,0.0426665926409149
722,0.031451014349332
723,0.0314819396338446
728,0.0474187695860135
735,0.039048325911265
743,0.040986310407389
747,0.0413505677699927
759,0.0383305146170572
760,0.037919787388258
775,0.0399819110449031
780,0.0400085124494573
788,0.0403676314109385
789,0.0403809321132155
791,0.0341828048520961
794,0.0138524388275961
795,0.014107235372555
801,0.0531930253692426
807,0.0467976320907755
809,0.0591722509576103
811,0.0710117970800316
812,0.0530656270967632
820,0.0308068541285858
821,0.0323509527505821
823,0.048626586874327
828,0.0437272036791279
829,0.0417908205423542
832,0.041248299404896
834,0.0506631277595546
836,0.0499954094365292
843,0.0317874520949059
845,0.0343624854669939
850,0.0486931059725272
865,0.038892404711943
875,0.0373824512318333
882,0.05291498739855
883,0.0502947740065949
888,0.0176657002225069
893,0.0348594160879239
899,0.0447373744184478
900,0.0419504191670599
916,0.0359600124661376
918,0.035552465658188
934,0.0413540143360583
937,0.0393732772377774
957,0.0444218772667924
959,0.0449876686493544
961,0.0317911187036906
964,0.0307196215391147
971,0.0467314282248526
980,0.0429306458297532
989,0.0347823359678835
990,0.0424455317191485
995,0.042685986701794
1002,0.053234642244804
1003,0.0537678250324091
1006,0.042612804750554
1007,0.0380127963869025
1011,0.0311372765570864
1025,0.0477657935285053
1026,0.0559420005878318
1032,0.042905239650126
1034,0.0311638215439795
1037,0.0310453922547244
1039,0.0685028845991168
1048,0.0406043277445987
1059,0.0154034160343308
1063,0.0651661124847244
1066,0.0625230909142581
1081,0.058232090490155
1086,-0.0074361122748219
1090,0.1047339757017176
1091,0.112379555927943
1092,0.0934227063259321
1094,-0.004817762882279
1096,0.0165479681608713
1097,0.0723711772098868
1098,0.1358399664851277
1101,-0.0262882279011311
1103,-0.0428361960620025
1105,-0.2815985130111523
1108,-0.2149163568773233
1113,-0.5627323420074347
1123,0.9539962825278808
1127,0.8568773234200742
1129,0.0264664715612673
1131,0.0283666284938711
1132,0.0265258514654112
1133,0.0323874962887559
1136,0.0536794333460576
1143,0.0424396657759681
1145,0.0485048988420918
1165,0.0353965127448792
1167,0.0356487905221179
1169,0.0457204956288023
1178,0.0327497226643515
1180,0.0322111287962829
1187,0.041118024405537
1190,0.0338510265438351
1191,0.0385134809241306
1205,0.0286757536943929
1213,0.0382056625054961
1215,0.041092355044065
1216,0.045862088741899
1217,0.0553633217993079
1218,0.0671586151522682
1219,0.0893058555889044
1220,0.0621212410866198
1229,0.0337020230667423
1235,0.0453535640007562
1237,0.0396656582844898
1240,0.0389802735236654
1244,0.048008445200731
1247,0.0354588138904644
1252,0.0383845093243964
1272,0.0443978285174214
1276,0.0429225112665829
1278,0.044570717257754
1283,0.0360645912333882
1298,0.0299860364944501
1304,0.0604375231738969
1312,0.0355714387144108
1314,0.049298274678721
1317,0.043318423149441
1324,0.0360342038363762
1328,0.0561035359371388
1341,0.0337785994915645
1342,0.0313843309452276
1343,0.0353199975329454
1346,0.0335313829896589
1352,0.0517259102403322
1359,0.0435332332805657
1361,0.0412820460105672
1362,0.0472749326699697
1378,0.0437526661780952
1383,0.0425713441912866
1395,0.0436496122712258
1400,0.0612001871305235
1402,0.0465558060080239
1412,0.0259147421993507
1419,0.0122041681384669
1423,0.0531261038502295
1425,0.051872129989403
1442,0.0375956698614079
1444,0.0376129076742742
1448,0.0420085499551816
1457,0.0374577673584775
1460,0.0549369096049093
1462,0.0577121974763841
1466,0.0308792900479942
1467,0.0299133689516737
1469,0.0375954601708472
1479,0.0345316791934558
1482,0.0568384195116061
1494,0.05318401937046
1499,0.0385956416464891
1500,0.0434503631961259
