Ratio Spot Daily,Ratio Spot Monthly,Daytype,Month,Year,Day of Week,Total (grid load)[MWh],Wind offshore[MWh],Wind onshore[MWh],Photovoltaics[MWh],Nuclear[MWh],Other renewable[MWh]
1.3901293739996285,1.632801443762091,Tuesday-Thursday,2,2018,1,18759,13,866,0,2347.75,60
1.2326521227770753,1.4478337076901107,Tuesday-Thursday,2,2018,1,18659,10,1008,0,2350.25,60
1.0168106611957588,1.1943132392464393,Tuesday-Thursday,2,2018,1,17782,16,1042,0,2351.5,61
0.8631536128330519,1.0138325911115151,Tuesday-Thursday,2,2018,1,16726,19,1030,0,2349.25,61
0.8094585393029898,0.9507640773295596,Tuesday-Thursday,2,2018,1,16080,30,913,0,2350.0,61
0.8071239708886394,0.948021968034692,Tuesday-Thursday,2,2018,1,15280,44,865,0,2348.25,61
0.7289986766651964,0.8582802092935694,Tuesday-Thursday,2,2018,2,14365,59,789,0,2347.5,61
0.7429730921923248,0.8747328650627753,Tuesday-Thursday,2,2018,2,13813,67,702,0,2348.5,61
0.7336568151742391,0.8637644278833047,Tuesday-Thursday,2,2018,2,13480,45,662,0,2348.75,61
0.7275165416850463,0.8565352306513809,Tuesday-Thursday,2,2018,2,13437,29,625,0,2349.25,61
0.7300573445081605,0.8595266226094183,Tuesday-Thursday,2,2018,2,13568,18,611,0,2350.0,61
0.7215880017644464,0.8495553160826269,Tuesday-Thursday,2,2018,2,14078,12,609,0,2337.5,61
0.8880105866784297,1.0454914893340779,Tuesday-Thursday,2,2018,2,15464,13,663,0,2346.75,60
1.2504984561093957,1.4722634086807496,Tuesday-Thursday,2,2018,2,17368,6,687,0,2350.5,59
1.2985619761799736,1.5288505732202908,Tuesday-Thursday,2,2018,2,18085,12,667,82,2347.5,59
1.24859285399206,1.4700198647122216,Tuesday-Thursday,2,2018,2,18296,17,552,651,2354.75,59
1.225513895015439,1.442848054426715,Tuesday-Thursday,2,2018,2,18432,25,344,1463,2354.25,60
0.994936038817821,1.1713792342348193,Tuesday-Thursday,2,2018,2,18450,38,202,2145,2354.5,60
0.9517423908248788,1.1205255709481832,Tuesday-Thursday,2,2018,2,18377,50,149,2540,2352.5,60
0.9786325540361712,1.1521844691707457,Tuesday-Thursday,2,2018,2,18368,70,131,2588,2352.0,60
1.0374944861049846,1.221485049531946,Tuesday-Thursday,2,2018,2,18000,71,192,2280,2352.75,60
1.0796294662549626,1.2710922995027332,Tuesday-Thursday,2,2018,2,17888,77,287,1549,2350.0,60
1.1319276576973976,1.33266511730567,Tuesday-Thursday,2,2018,2,17539,95,387,627,2343.75,60
1.2744243493603882,1.5004323496189351,Tuesday-Thursday,2,2018,2,17712,111,531,31,2346.75,59
1.3580591089545655,1.5988990015710003,Tuesday-Thursday,2,2018,2,18827,120,699,0,2348.5,60
1.1975650639611823,1.4099427428883033,Tuesday-Thursday,2,2018,2,18740,110,737,0,2350.5,60
1.0203440670489634,1.2012931538151934,Tuesday-Thursday,2,2018,2,17929,117,696,0,2353.25,60
0.9096074106749008,1.070918320977396,Tuesday-Thursday,2,2018,2,16829,122,617,0,2350.75,60
0.910877812086458,1.0724140169564147,Tuesday-Thursday,2,2018,2,16107,165,554,0,2349.75,60
0.8587913542126159,1.0110904818166475,Tuesday-Thursday,2,2018,2,15165,220,522,0,2348.75,61
0.8043785251723418,0.9998727619740072,Tuesday-Thursday,2,2018,3,14289,270,428,0,2347.75,61
0.7730937956966785,0.9609846665195207,Tuesday-Thursday,2,2018,3,13753,336,355,0,2348.25,61
0.7680802172550657,0.9547525999402761,Tuesday-Thursday,2,2018,3,13489,417,353,0,2348.5,61
0.7624650094004596,0.9477726853715223,Tuesday-Thursday,2,2018,3,13582,505,344,0,2348.25,61
0.7267683308961772,0.9034003713273006,Tuesday-Thursday,2,2018,3,13702,545,288,0,2347.5,61
0.7997660330060581,0.9941392607211023,Tuesday-Thursday,2,2018,3,14179,529,251,0,2347.25,61
0.8926175057447252,1.1095571337687125,Tuesday-Thursday,2,2018,3,15494,455,220,0,2335.5,61
1.2247169417171506,1.5223692239778763,Tuesday-Thursday,2,2018,3,17405,400,183,1,2339.5,61
1.3336118654689784,1.6577297100790696,Tuesday-Thursday,2,2018,3,18143,351,196,57,2347.0,61
1.343237936076875,1.6696952779112193,Tuesday-Thursday,2,2018,3,18209,338,194,574,2350.75,60
1.2018550240233967,1.4939510003765208,Tuesday-Thursday,2,2018,3,18336,348,149,1293,2351.0,60
1.1952371004804678,1.485724672491918,Tuesday-Thursday,2,2018,3,18415,400,107,1993,2350.0,60
1.0033173177355337,1.247161163838434,Tuesday-Thursday,2,2018,3,18325,450,132,2316,2347.25,60
0.9585961980363483,1.1915711299515717,Tuesday-Thursday,2,2018,3,18207,512,194,2412,2344.25,60
0.98446626279507,1.2237285935004742,Tuesday-Thursday,2,2018,3,17882,566,255,2115,2345.5,61
1.0424232295801128,1.2957712831565418,Tuesday-Thursday,2,2018,3,17794,581,243,1482,2347.75,61
1.1118111552120324,1.3820230846132875,Tuesday-Thursday,2,2018,3,17471,607,217,639,2339.75,60
1.2662293712137038,1.5739707352540218,Tuesday-Thursday,2,2018,3,17579,616,218,47,2342.25,61
1.234343012325047,1.5343347918100259,Tuesday-Thursday,2,2018,3,18533,647,335,0,2344.25,60
1.1449007729266765,1.423154724036302,Tuesday-Thursday,2,2018,3,18433,688,498,0,2344.0,60
0.9517777313557552,1.183095519403799,Tuesday-Thursday,2,2018,3,17720,779,673,0,2344.0,60
0.8418800919156046,1.046488619986757,Tuesday-Thursday,2,2018,3,16689,836,841,0,2343.5,61
0.8406768330896177,1.0449929240077382,Tuesday-Thursday,2,2018,3,16134,876,895,0,2345.0,61
0.7937497388761228,0.9866607808260086,Tuesday-Thursday,2,2018,3,15271,843,920,0,2346.25,61
0.8262676811520197,0.8403318575453449,Friday,2,2018,4,14583,834,997,0,2347.5,61
0.7875402134504418,0.8009451967645189,Friday,2,2018,4,13966,842,1055,0,2346.25,61
0.767441147934433,0.7805040183845965,Friday,2,2018,4,13660,848,1145,0,2344.25,61
0.7882755451156614,0.8016930447540281,Friday,2,2018,4,13711,869,1279,0,2344.75,61
0.796609303988153,0.8101686553018009,Friday,2,2018,4,13850,880,1385,0,2341.5,61
0.8049430628606445,0.8186442658495737,Friday,2,2018,4,14304,893,1517,0,2346.0,61
0.8593576060869121,0.8739850170732659,Friday,2,2018,4,15665,921,1639,0,2335.75,61
1.1311852116631773,1.1504394905285573,Friday,2,2018,4,17387,882,1754,1,2349.0,60
1.2145228003880917,1.2351955960062841,Friday,2,2018,4,18206,850,1945,67,2352.75,61
1.1603533677168973,1.1801041274457618,Friday,2,2018,4,18399,929,1884,524,2354.75,61
