,Yearly Clock (cos),Yearly Clock (sin),Weekly Clock (cos),Weekly Clock (sin),Month,Time,Year,Daytype,Photovoltaics[MWh],Wind onshore[MWh],Wind offshore[MWh],PV + W / Residual Load,COVID,Oil Price
20708,-0.6429704914694561,0.7658909498744101,0.1858613361942816,-0.982575983681708,6,00:00:00,2020,Friday,0,1615,1400,0.4162065157371618,0.0,38.54
20709,-0.643518916857762,0.7654302082137946,0.2223214096335695,-0.9749734308269856,6,01:00:00,2020,Friday,0,1435,1312,0.3968506212077434,0.0,38.54
20710,-0.6440670120865739,0.7649690738466968,0.2584730930942056,-0.9660184574563336,6,02:00:00,2020,Friday,0,1245,1139,0.3404741502427877,0.0,38.54
20711,-0.64461477687469,0.7645075470097032,0.2942662392830929,-0.9557234853335904,6,03:00:00,2020,Friday,0,1085,1147,0.3117753876239698,0.0,38.54
20712,-0.6451622109410777,0.7640456279396017,0.3296511982468997,-0.9441027949828256,6,04:00:00,2020,Friday,0,1065,1156,0.3052501374381528,0.0,38.54
20713,-0.6457093140048741,0.7635833168733814,0.3645788862437165,-0.9311725058791692,6,05:00:00,2020,Friday,11,1080,1110,0.281890368852459,0.0,38.54
20714,-0.6462560857853862,0.7631206140482326,0.3990008538282217,-0.9169505540891232,6,06:00:00,2020,Friday,263,1173,1058,0.2936881771078662,0.0,38.54
20715,-0.646802526002091,0.7626575197015463,0.4328693530579711,-0.9014566673907148,6,07:00:00,2020,Friday,1017,1099,847,0.3187392426850258,0.0,38.54
20716,-0.6473486343746354,0.7621940340709146,0.4661374037265791,-0.8847123379082289,6,08:00:00,2020,Friday,2269,935,794,0.4300774526678141,0.0,38.54
20718,-0.6484398544666831,0.7612658899091873,0.53068846708454,-0.8475669595397529,6,10:00:00,2020,Friday,5108,808,617,0.8634681469733017,0.0,38.54
20719,-0.6489849656263322,0.7608012318542791,0.5618819386853316,-0.8272174363365494,6,11:00:00,2020,Friday,6291,1023,640,1.2354768561665113,0.0,38.54
20720,-0.6495297438221131,0.7603361834678,0.5922960037532052,-0.8057204502418833,6,12:00:00,2020,Friday,7118,1315,590,1.6155774395702776,0.0,38.54
20721,-0.6500741887745258,0.7598707449883448,0.6218884738506537,-0.7831058204940791,6,13:00:00,2020,Friday,7287,1615,709,2.0293496621621623,0.0,38.54
20722,-0.6506183002042408,0.7594049166547082,0.6506183002042076,-0.7594049166547366,6,14:00:00,2020,Friday,7138,1812,780,2.237810487580497,0.0,38.54
20723,-0.6511620778321,0.7589386987058849,0.6784456306441151,-0.7346506150953043,6,15:00:00,2020,Friday,6664,1846,965,2.142695612844866,0.0,38.54
20724,-0.6517055213791165,0.7584720913810697,0.7053318648850755,-0.7088772533928154,6,16:00:00,2020,Friday,5806,2114,1082,1.934250107434465,0.0,38.54
20725,-0.652248630566475,0.758005094919657,0.7312397080699065,-0.6821205826991573,6,17:00:00,2020,Friday,4591,2304,1158,1.4533477711604403,0.0,38.54
20726,-0.6527914051155311,0.7575377095612406,0.7561332225028878,-0.6544177181490415,6,18:00:00,2020,Friday,3053,2641,1257,1.0405688622754492,0.0,38.54
20727,-0.653333844747813,0.7570699355456143,0.7799778774997498,-0.6258070873767613,6,19:00:00,2020,Friday,1509,2622,1375,0.6847407038925507,0.0,38.54
20728,-0.6538759491850199,0.7566017731127711,0.8027405972866717,-0.5963283772116145,6,20:00:00,2020,Friday,511,2536,1428,0.5260992240771221,0.0,38.54
20729,-0.6544177181490236,0.7561332225029034,0.8243898068810649,-0.5660224786266006,6,21:00:00,2020,Friday,58,2854,1477,0.5469840478564307,0.0,38.54
20730,-0.6549591513618677,0.7556642839564023,0.8448954758899436,-0.5349314300176291,6,22:00:00,2020,Friday,0,3418,1537,0.6679698031814505,0.0,38.54
20731,-0.6555002485457694,0.7551949577138573,0.8642291601663811,-0.5030983588902985,6,23:00:00,2020,Friday,0,3588,1432,0.7517220724767895,0.0,38.54
20732,-0.6560410094231143,0.75472524401606,0.882364041265564,-0.4705674220358885,6,00:00:00,2020,Saturday,0,3466,1454,0.8677248677248677,0.0,38.54
20733,-0.6565814337164646,0.7542551431039977,0.899274963645263,-0.4373837442804782,6,01:00:00,2020,Saturday,0,3346,1452,0.934190031152648,0.0,38.54
20734,-0.6571215211485539,0.7537846552188567,0.9149384695602244,-0.4035933558903,6,02:00:00,2020,Saturday,0,2858,1570,0.8323308270676691,0.0,38.54
20735,-0.6576612714422885,0.7533137806020228,0.9293328316011444,-0.3692431287217125,6,03:00:00,2020,Saturday,0,2361,1482,0.6845386533665836,0.0,38.54
20736,-0.6582006843207479,0.7528425194950795,0.942438082833708,-0.3343807112031509,6,04:00:00,2020,Saturday,0,2005,1446,0.5844199830651989,0.0,38.54
20737,-0.6587397595071843,0.752370872139809,0.954236044495174,-0.2990544622409175,6,05:00:00,2020,Saturday,15,1774,1297,0.494234465086483,0.0,38.54
20738,-0.6592784967250237,0.7518988387781915,0.9647103512109364,-0.2633133841385046,6,06:00:00,2020,Saturday,304,1534,1088,0.4399338445346564,0.0,38.54
